sentence,language
"This film was choppy, incoherent and contrived. It was also an extremely mean-spirited portrayal of women. I rented it because it was listed as",English
This film is,English
This had to be one of the worst films ever. When Kate,English
"This starts off bad, what with the three women acting like simpering junior high school",English
"This was awful. Andie Macdowell is a terrible actress. So wooden she makes a rocking horse look like it could do a better job. But then remember that turn in Four Weddings, equally as excruciating. Another film that portrays England as full of Chocolate box cottages, and",English
"Caught this on IFC yesterday, and can't believe the positive reviews! Am I the",English
I thought it was a New-York located movie: wrong! It's a little British countryside setting.<br,English
Was this meant to be a comedy or a serious drama? This film starts with a light-hearted banter between three women. Fine. It moves into a conflict between the women when one of them,English
"Andie McDowell is beautiful as the 40-ish woman whose late start at a serious relationship leads her to a considerably younger man and a subsequenet falling-out with 2 long-time best girldfriends.<br /><br />Seeing a gigolo/gold-digger in the sincere young man, the ""girl-friends"", dead-set on terminating this ""silly",English
"SPOILER: The young lover, Jed, is kicked out by the spinster, Kate (Andie McDowell), because she wrongly believes that Jed is having an",English
"The worst thing about Crush is not that it's acted pretty bad, or that the plot is virtually non-existent, and it's not even that bad that the camerawork could have been better.<br /><br />No, the worst part of this movie is that it has a few absolutely",English
Not a `woman film' but film for the gang. One of,English
"As a single woman over 40, I found this film extremely insulting and demeaning to single women over 40, not to mention every other woman, of any age. It",English
"I was gifted with this movie as it had such a great premise, the friendship of three women bespoiled by one falling in love with a younger man.<br /><br />Intriguing.<br /><br />NOT! I hasten to add. These women are all drawn",English
"""The Crush"" is a pleasant enough 40-something friends romantic chick flick for the first",English
it MIGHT have been a good movie if it had explored something more interesting rather than just the surface of a lesbian relationship if this was the meaning of the movie...it is quite predictable not mentioning that the two girls resemble the Russian group,English
"***LIGHT SPOILER ALERT*** The story sounds good and if you've read the novel, then you're probably expecting a deep and intense movie that could offer some insight for some interesting",English
"This is a movie that relies solely on the somewhat controversial image of incest and lesbianism to get noticed.That is it.The dialogs are pathetic and the sensuality of the ""sex scenes"" is",English
"I am not so much like Love Sick as I image. Finally the film express sexual relationship of Alex, kik, Sandu their triangle love were full of",English
"I am not so much like Love Sick as I image. Finally the film express sexual relationship of Alex, kik, Sandu their triangle love were full of intenseness, frustration and jealous, at last, Alex waked up and realized that they would not have result and future.Ending up was sad.<br",English
"Considering that this movie had a serious and quite successful launching campaign, I would have expected something to be worth the fuzz...from the opening scene on (in which the two brothers",English
"Yes, indeed, it could have been a good movie. A love biangle, (sorry for the poetical license,",English
"Closer to reality and containing more depth than ""Breakdance"", Stan Lathan's ""Beat Street"" is still a pretty dull show. Again this pic is really only cashing in on the 'breakin' craze but at least we get a little bit of entertainment from the",English
"Hilariously obvious ""drama"" about a bunch of high school (I think) kids who enjoy non-stop hip-hop, break dancing, graffiti and trying",English
"Maybe you shouldn't compare, but Wild Style and Style Wars are original Hip Hop. Beat Street does have a lot of the original artists of early Hip Hop, but they've been",English
"I could never stand watching Happy Days after Chachi joined the cast, so",English
Horrible film with bits of the,English
This movie is a 90 minute Ramones concert with brief periods of stupidity and absolute boredom. What kind of high school is this anyway?<br /><br,English
I gave this film 2 stars only because,English
"I jumped at the chance to view this movie uncut and uninterrupted, remembering rahs and raves for it. But wherever it seemed about to slip into being truly",English
The perfect murder,English
"Well, as Goethe once said, there really isn't any point in",English
"That's not the sound of bees, that's the effect induced by watching this extremely long, extremely boring,",English
Iberia is nice to see on TV. But why see this in silver screen? Lot of dance and music. If you like classical music or modern dance this could be your date movie. But otherwise one and half hour is just too long time. If you like to see,English
That reviewers liked this movie surprises me. The plot is a muddle. The characters are wooden. Michael Bowen spends most of the film spying on the other characters and misjudging all,English
"This is a terrible movie, terrible script, bad direction and nonsensical ending. Also, bad performances, except from Clancy Brown who is criminally underused here, and Michael Pollard. Watching this movie was purgatory--you do it to unload enough bad movie karma to",English
"Burt Kennedy used to be a very good director, but you'd never know it by this lumbering mess. Not only does this film look cheap, it IS cheap--most of the battle scenes are lifted from the far superior ""The Last Command"" from 1955, and that footage, shot 32 years",English
"While being a great James Arness western, this film has gone down as the worst Alamo film ever made. The story was terrible, inaccuracy",English
"This movie is flawed on many fronts. Like many before it, it portrays more of the mythology of the Alamo than the history. The production is poor, overall giving the impression of a welfare project for lots of actors",English
Slow and riddled with inaccuracy. Over-looking its flaws this is still an interesting account of the famed and heroic siege of the Alamo during the Texas fight for independence from Mexico. James Arness as Jim Bowie. Brian Keith as Davy Crockett. Alec,English
"This film, The Alamo:Thirteen Days to Glory, is utter rubbish. The acting is awful, it is far too",English
The story by Norman Maclean,English
The only good part about this film is the beautiful scenery. This movie was long and boring. The minister should have retired from the pulpit the time his son Paul strayed from the,English
"... to not live in Montana and especially not to live there at the end of the 19th century.<br /><br />""A river runs through it"" certainly is",English
"I always felt that a good film should have a plot. This particular film was missing one, and I feel that it would have been more effective with a plot. This was made even worse by the fact that it seemed to go on forever; I was",English
This movie has beautiful scenery. Unfortunately it has no plot. In order to have a plot there must be a conflict. This movie had none. It spent two hours painting a beautiful scene and failed to ever place any,English
This movie has beautiful scenery. Unfortunately it has no plot.,English
"Sorry, gave it a 1, which is the rating I give to movies on which I walk out or fall",English
"I didn't know whether to laugh or cry at this misrepresentation of Canadian history, particularly the disservice done to the history of the Mounted Police in the Yukon.<br /><br />I'll leave it",English
The five or so really good westerns that Mann made are unequaled as an ensemble in Hollywood. Even John Ford never made that many with so much quality. The curious thing about them all is how uneven they are. Ford's My,English
"Mann photographs the Alberta Rocky Mountains in a superb fashion, and Jimmy Stewart and Walter Brennan give enjoyable performances as they always seem to do. <br /><br />But come on Hollywood - a Mountie telling the people of Dawson City, Yukon to elect themselves a marshal (yes a",English
"This is an action Western. James Steart leads an all star cast in the scenic Northwest, which is filmed in great splendor. The scenery and costumes are great.",English
This is the worst sequel,English
"Ah, Channel 5 of local Mexican t.v. Everyday, at 2:00 a.m. they air Horror movies from the",English
Preposterous sequel stretches credibility to a great degree,English
Return to Cabin by the Lake just.... was lacking. It must have had a very low budget because a fair amount of the,English
"This movie was made-for-TV, so taking that into account, I'm not going to rip into it as hard as I would a feature film. The script is sub-par, but it does",English
"IF you are planning to see this movie, please reconsider. I don't usually post my comments about something I've seen on television, but this one was",English
<br /><br />I saw this on the Sci-Fi channel. It came on right after the first one. For some reason this movie kept me interested. I don't,English
"I watched Cabin by the Lake this afternoon on USA. Considering this movie was made for TV is was interesting enough to watch the sequel. So, I tune in for the airing this evening and was extremely disappointed. I knew I wouldn't like the movie, but",English
*Possible Spoiler*<br /><br />'Return to Cabin by the Lake' is a useless movie. The acting was not good and the plot wasn't even remotely interesting.<br /><br />'Cabin by the Lake' is,English
"A decent sequel, but does not pack the punch of the original. A murderous screenwriter(Judd Nelson)assumes new identities in order to direct his own novel CABIN BY THE LAKE. Still ruthless killing, but movie seems very",English
"Return to Cabin by the Lake does not, in any way, stand up to the original. With only one main character (Stanley) returning for the sequal, the film is not",English
I thought Hedy Burress (who managed to escape from the,English
Viewers gushing over everything including the title sequence (now,English
I saw this movie recently because a friend brought it with him from NYC.,English
Despite a decent first season,English
"Anybody who has ever been a fan of the original series, or even has a clue about the storyline should be embarrassed by this series. The Borg does not come around until Q brings the Enterprise to",English
"Okay first of all, I didn't sit down to",English
"While it's early to say how the series will evolve, I can say that the pilot was less than I thought it would be.",English
"I'm not a huge Star Trek fan, but",English
The earlier part of the film,English
a movie that attempts to be far smarter than its makers are,English
If you can imagine Mickey Mouse as a New York street,English
"I really wanted to like this western, being a fan of the genre and a fan of ""Buffalo Bill,"" ""Wild Bill Hickok,"" and ""Calamity Jane,"" all of whom are in this story! Add to the mix Gary Cooper as the lead actor,",English
I have always admired Susan Sarandon for her integrity and honesty in her private life as well as her talents as an actor. I therefor found it,English
Warning Spoilers following. Superb recreation of the base,English
OK first of all the video looks like it was filmed in the 80s I was shocked to find out it was released in 2001. Secondly,English
Zu Warriors most definitely should've been an animated series because as a movie it's like watching an old,English
"This is not so much film as big budget children's television. As far as I can tell, the villain is a giant swarm of chocolate covered espresso beans. This theory seems to be verified by the fact that",English
Watched this on DVD in original language with English subs. Either the subtitling was very poor or the actual dialog doesn't make much of story and give any character development. There are,English
"""Spielberg loves the smell of sentiment in the morning. But sentiment at the expense of narrative honesty? Nobody should love that."" - Lucius Shepard<br /><br />""The Color Purple"" takes place in the Deep South during the early 1900s, and tells",English
"You may consider a couple of facts in the discussion to be spoilers.<br /><br />I'm sorry, but Spielberg didn't deserve to win any Oscar for this",English
This is really terrible.<br /><br />The only redeeming feature about this movie is that the next time,English
"Dude, really!!!! where have you guys been",English
"Well, you know the rest! This has to be the worst movie I've seen in a long long time. I can only imagine that Stephanie Beaham had some bills to pay when taking on",English
"I'm in Iraq right now doing a job that gives plenty of time for watching movies. We also have access to plenty of pirated movies, this gem came along with 11 other movies, and this is easily the worst I've seen in a long time. I've seen a few",English
"""Valentine"" is another horror movie to add to the stalk and slash movie list (think ""Halloween"", ""Friday the 13th"", ""Scream"", and ""I Know What You Did",English
There's one line that makes it worth to rent for Angel fans. Everyone else: this is just a very bad horror,English
There are so many puns to play on the title of the spectacularly bad Valentine that I don't know where to begin. I will say this though; here is a movie that makes me long for the complexity of the Valentine cards we used to,English
"There is no way to describe how really, really,",English
In an attempt to bring back the teen slasher genre that was taken away by spoofs like,English
"Firstly, there are some good things about this film, but it's all cliche slasher stuff combined with a teen movie. In the advertising",English
"This stalk and slash turkey manages to bring nothing new to an increasingly stale genre. A masked killer stalks young, pert girls and slaughters them in a variety of gruesome ways, none of which are particularly inventive.<br /><br />It's not scary, it's not clever, and it's not funny. So",English
"Valentine is a horrible movie. This is what I thought of it:<br /><br />Acting: Very bad. Katherine Heigl can not act. The other's weren't much better.<br /><br />Story: The story was okay, but it could have been more developed. This movie had the potential to be a",English
"This movie was rented by a friend. Her choice is normally good. I read the cover first and was expecting a good movie. Although it<br /><br />was a horror movie. Which i don't prefer. But no horror came to mind while watching the movie. It was a dull,<br /><br",English
"The Good: I liked this movie because it was the first horror movie I've seen in a long time that actually scared me. The acting wasn't too bad, and the ""Cupid"" killer was believable and disturbing.<br /><br />The Bad: The story line and plot of",English
"Its plain to see why the makers of Scary Movie found it so easy to spoof these 'teen slasher' movies. They are so unbelievably formulaic. And if Valentine had been released a year or so earlier, I'm sure they would have been spoofing",English
***SPOILERS*** ***SPOILERS*** Are all teen slasher flicks suffering from a drought of originality? It awfully seems so. First,English
"here was no effort put into Valentine to prevent it from being just another teenage slasher film, a sub-genre of horror",English
This movie in away was super-clever. It's theme rhymes with every single horror movie ever made. Valentine makes ZERO attempt to be original. What is valentine anyway? It's a bunch of people giving each other the same lame messages that were given to the same,English
"Well the reason for seeing it in the cinema was that it was a sneak preview, else I would never have seen this terrible teenage slasher movie. I mean",English
"""In 1955, Tobias Schneerbaum disappeared in the Peruvian Amazon. One year later he walked out of the jungle...naked. It took him 45 years",English
"So, where are the cannibals? Those intrigued by the title and the 'real cannibal' appeal of this film will be",English
"Well, where to begin?",English
I Am Curious is really two films in one - half of it is the sexual experimental side of Lena and the other half,English
"This film, once sensational for its forward-thinking politics and depictions of free love and sexual liberation, has been reduced by time to a mere curiosity. It seems absurd now that",English
"The plot line of No One Sleeps is not a bad idea, and the subject matter is",English
Hail Bollywood and men Directors !<br /><br />Really this is the ultimate limit in utter sacrifice made by Indian Woman !!<br,English
"This movie is traditional bollywood fare as far as the star power, sentimentality and love triangle of emotions. What really bothered me about this movie was the makers' absurd notion of surrogate mother. A whore who",English
I wonder,English
The TV guide calls this movie a mystery. What is a mystery to me is how is it possible that a culture that can produce such intricate and complex,English
... but the keyword,English
Don't even ask me why I watched this! The only excuse I can come up with that I was sick with Bronchitis and too weak to change the,English
"The French film ""Extension Du Domaine De La Lutte"" directed by iconoclast film maker Philippe Harel is based on the book of the same name written by a",English
"Two years ago, on Berlin Film Festival we watched the Amos Kollek movie ""Sue"" in the Panorama",English
Blank check is one of those kids movies that could have been a great suspense thriller for the kids but instead it's a tired lame home alone ripoff that isn't worth a dime. Quigley is a criminal who just escaped,English
Blank Check is a movie that I saw on TV one day and like most movies they air on TV Blank Check wasn't that good. First of all no one,English
"I saw this movie once a long time ago, and I have no desire to ever",English
The worst movie I have seen in a while.,English
Blank Check is easily one of the worst films of,English
